"fc_country","fc_code","fc_geog1","fc_type","fc_ownership","fc_size_m2","fc_opvisits_total","fc_opvisits_TB","fc_ipdays_total","fc_ipdays_tb","ss_lab_total","ss_lab_tb","ss_rad_total","ss_rad_tb","capacity","fc_catchmentpop","fc_timespent_TB","fc_FTE_facility_clin","fc_FTE_facility_support","fc_FTE_total","fc_m2_TB","fc_beds_facility","fc_beds_TB","fc_FTE_TB_doctors","fc_FTE_TB_nurses","fc_FTE_TB_pharm","fc_FTE_TB_lab","fc_FTE_TB_rad","fc_FTE_TB_odirect","fc_FTE_TB_admin","fc_FTE_TB_support","fc_FTE_TB_vol","fc_FTE_TB","outputgroup","output","output_pop2","originaloutputdescription","output_plink","servicestatistics","met_stafftime_obs","met_stafftime_int","met_stafftime_tmst","met_stafftime_ass","met_equip_obs","met_equip_int","met_supp_obs","met_supp_int","met_TDvBU","met_FINvECON","q_bldgspace","q_stafftime_clin","q_stafftime_nurs","q_stafftime_pharm","q_stafftime_lab","q_stafftime_rad","q_stafftime_odirect","q_stafftime_admin","q_stafftime_support","q_stafftime_vol","LCU_p_bldgspace","LCU_p_stafftime_clin","LCU_p_stafftime_nurs","LCU_p_stafftime_pharm","LCU_p_stafftime_lab","LCU_p_stafftime_rad","LCU_p_stafftime_odirect","LCU_p_stafftime_admin","LCU_p_stafftime_support","LCU_p_stafftime_vol","LCU_cost_total_ohd_bldg","LCU_cost_total_ohd_staff","LCU_cost_total_ohd_transport","LCU_cost_total_ohd_other","LCU_cost_total_bldgs","LCU_cost_total_equip_med","LCU_cost_total_equip_other","LCU_cost_total_furniture","LCU_cost_total_vehicles","LCU_cost_total_training","LCU_cost_total_staff_clin","LCU_cost_total_staff_support","LCU_cost_total_staff_vol","LCU_cost_total_supplies_med","LCU_cost_total_drugs","LCU_cost_total_supplies_other","LCU_cost_total_maintenance","LCU_cost_total_utilities","LCU_cost_total_transport","LCU_cost_total_food","LCU_cost_total_other","LCU_unitcost_ohd_bldg","LCU_unitcost_ohd_staff","LCU_unitcost_ohd_transport","LCU_unitcost_ohd_other","LCU_unitcost_bldgs","LCU_unitcost_equip_med","LCU_unitcost_equip_other","LCU_unitcost_furniture","LCU_unitcost_vehicles","LCU_unitcost_training","LCU_unitcost_staff_clin","LCU_unitcost_staff_support","LCU_unitcost_staff_vol","LCU_unitcost_supplies_med","LCU_unitcost_drugs","LCU_unitcost_supplies_other","LCU_unitcost_maintenance","LCU_unitcost_utilities","LCU_unitcost_transport","LCU_unitcost_food","LCU_unitcost_other","LCU_unitcost_total","LCU_unitcost_fixed","LCU_unitcost_variable","met_currency","met_currencyyear_collection","met_USDexchangerate","met_GDPdeflator","USD_GDPpercapita","met_currencyyear_reported","USD_cost_total_ohd_bldg","USD_cost_total_ohd_staff","USD_cost_total_ohd_transport","USD_cost_total_ohd_other","USD_cost_total_bldgs","USD_cost_total_equip_med","USD_cost_total_equip_other","USD_cost_total_furniture","USD_cost_total_vehicles","USD_cost_total_training","USD_cost_total_staff_clin","USD_cost_total_staff_support","USD_cost_total_staff_vol","USD_cost_total_supplies_med","USD_cost_total_drugs","USD_cost_total_supplies_other","USD_cost_total_maintenance","USD_cost_total_utilities","USD_cost_total_transport","USD_cost_total_food","USD_cost_total_other","USD_unitcost_ohd_bldg","USD_unitcost_ohd_staff","USD_unitcost_ohd_transport","USD_unitcost_ohd_other","USD_unitcost_bldgs","USD_unitcost_equip_med","USD_unitcost_equip_other","USD_unitcost_furniture","USD_unitcost_vehicles","USD_unitcost_training","USD_unitcost_staff_clin","USD_unitcost_staff_support","USD_unitcost_staff_vol","USD_unitcost_supplies_med","USD_unitcost_drugs","USD_unitcost_supplies_other","USD_unitcost_maintenance","USD_unitcost_utilities","USD_unitcost_transport","USD_unitcost_food","USD_unitcost_other","USD_unitcost_total","USD_unitcost_fixed","USD_unitcost_variable","USD_p_bldgspace","USD_p_stafftime_clin","USD_p_stafftime_nurs","USD_p_stafftime_pharm","USD_p_stafftime_lab","USD_p_stafftime_rad","USD_p_stafftime_odirect","USD_p_stafftime_admin","USD_p_stafftime_support","USD_p_stafftime_vol","LCU_tc_fixedtradeable","LCU_tc_fixednontradeable","LCU_uc_variabletradeable","LCU_uc_variablenontradeable","LCU_tc_fixedstaff","LCU_uc_variablestaff","private","public","urban","rural","logVisitsPP_TB","logVisitsPP","logVisits","logVisitsTB","logGDP","log_USD_p_bldgspace","healthcentre","primary","secondary","tertiary","USD_unitcost_ohd"
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"OP","OP diagnostic visit",NA,"Outpatient diagnostic visit","op_diagnosticvisit",284,NA,0.5,0,0.5,NA,NA,NA,NA,"TD","ECON",8.28215028758227,1.83098591549296,1.83098591549296,0,0,0,0,0,0,0,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,15920.7591095719,23282.365718848,0,19888.6182267969,19911.3852189594,2.92252784446427,52.6838854376298,16.4643595627771,629.35756032913,0,46820,0,0,522.678951142551,0,0,0,0,1951.09152909337,0,0,56.0590109491968,81.9801609818593,0,70.0303458690032,70.1105113343641,0.0102905910016348,0.185506638864894,0.057973097052032,2.21604774763778,0,164.859154929577,0,0,1.84041884205124,0,0,0,0,6.87004059539919,0,0,454.219461576008,280.64984720898,173.569614367028,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,582.273132324219,851.510681152344,0,727.390441894531,728.223083496094,0.106886200606823,1.92681837081909,0.602154314517975,23.0176200866699,0,1712.35729980469,0,0,19.1160430908203,0,0,0,0,71.357666015625,0,0,2.05025744438171,2.99827694892883,0,2.56123399734497,2.56416583061218,0.000376359850633889,0.00678457180038095,0.002120261779055,0.081047959625721,0,6.02942705154419,0,0,0.0673100054264069,0,0,0,0,0.251259386539459,0,0,16.6122589111328,10.2642631530762,6.3479962348938,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,701.428344726562,55720.76171875,1.84041881561279,6.87004041671753,23282.365234375,164.859161376953,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,7.60976839065551
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","HIV confirmatory test",NA,"HIV confirmatory test","lab_HIVconftest",7,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",0.182915910495118,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,494.777929769058,990.863423003435,0,1527.28405664848,439.754053003088,0,0,0.0833560272568984,0,0,977.807509505704,0,0,680.412019186628,0,0,0,0,0,0,0,70.6825613955797,141.551917571919,0,218.183436664068,62.8220075718698,0,0,0.0119080038938426,0,0,139.686787072243,0,0,97.2017170266612,0,0,0,0,0,0,0,730.140335306235,493.251831207331,236.888504098905,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,18.0956134796143,36.2390480041504,0,55.857666015625,16.0832138061523,0,0,0.00304859667085111,0,0,35.7615509033203,0,0,24.8848457336426,0,0,0,0,0,0,0,2.5850875377655,5.17700672149658,0,7.9796667098999,2.29760193824768,0,0,0.000435513822594658,0,0,5.10879278182983,0,0,3.55497789382935,0,0,0,0,0,0,0,26.7035694122314,18.0397987365723,8.66377067565918,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,0.0833560302853584,2461.81591796875,97.2017135620117,0,990.863403320312,139.686782836914,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,15.741760969162
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Erythrocyte Sedimentation Rate",NA,"Erythrocyte Sedimentation Rate","lab_ESR",22,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",0.5748785758418,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,1555.01635070275,3114.14218658223,0,4800.0356066095,1382.08416658113,0.0196842322567671,0,0.261976085664538,0,0,1024.36977186312,0,0,21.5756258744381,0,0,0,0,0,0,0,70.6825613955797,141.551917571919,0,218.183436664068,62.8220075718698,0.00089473782985305,0,0.0119080038938426,0,0,46.5622623574145,0,0,0.980710267019915,0,0,0,0,0,0,0,540.795698569595,493.252725945161,47.5429726244344,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,56.8719253540039,113.894149780273,0,175.552673339844,50.5472412109375,0.000719915376976132,0,0.00958130415529013,0,0,37.4644813537598,0,0,0.789089739322662,0,0,0,0,0,0,0,2.5850875377655,5.17700672149658,0,7.9796667098999,2.29760193824768,3.27234265569132e-05,0,0.000435513822594658,0,0,1.7029310464859,0,0,0.0358677133917809,0,0,0,0,0,0,0,19.7786293029785,18.039831161499,1.73879873752594,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,0.281660318374634,7737.1357421875,0.98071026802063,0,3114.14208984375,46.5622634887695,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,15.741760969162
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Blood sugar",NA,"Glucose (RBS)","lab_RBS",12,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",0.313570132277345,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,848.190736746956,1698.62301086303,0,2618.20123996882,753.864090862437,0.0659964194601944,0,0.142896046726112,0,0,167.624144486692,0,0,19.6805644032983,0,0,0,0,0,0,0,70.6825613955797,141.551917571919,0,218.183436664068,62.8220075718698,0.00549970162168287,0,0.0119080038938426,0,0,13.9686787072243,0,0,1.64004703360819,0,0,0,0,0,0,0,508.866056649785,493.257330908953,15.6087257408325,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,31.0210514068604,62.124080657959,0,95.7560043334961,27.5712223052979,0.00241370033472776,0,0.00522616598755121,0,0,6.13055181503296,0,0,0.719781219959259,0,0,0,0,0,0,0,2.5850875377655,5.17700672149658,0,7.9796667098999,2.29760193824768,0.000201141694560647,0,0.000435513822594658,0,0,0.510879278182983,0,0,0.0599817708134651,0,0,0,0,0,0,0,18.610860824585,18.0399990081787,0.570861041545868,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,0.208892464637756,4220.255859375,1.64004707336426,0,1698.623046875,13.9686784744263,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,15.741760969162
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"OP","OP treatment visit","LTBI","Outpatient treatment visit_LTBI","op_treatmentvisit_LTBI",420,NA,1,0,0,NA,NA,NA,NA,"TD","ECON",12.2482504252977,0,0.595238095238095,0,0,0,0,0,0,0,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,23544.7845986626,34431.6676123809,0,29412.7452649813,29446.4147604329,173.610549983442,0,663.747700604556,930.740054007868,0,2500,0,0,2582.2183245636,0,0,0,0,2885.41705006766,0,0,56.0590109491968,81.9801609818593,0,70.0303458690032,70.1105113343641,0.413358452341528,0,1.58035166810608,2.21604774763778,0,5.95238095238095,0,0,6.14813886800857,0,0,0,0,6.87004059539919,0,0,301.360347418297,282.389787002509,18.9705604157887,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,861.108154296875,1259.2763671875,0,1075.71826171875,1076.94970703125,6.34949350357056,0,24.2753791809082,34.0401420593262,0,91.4330062866211,0,0,94.4399871826172,0,0,0,0,105.528938293457,0,0,2.05025744438171,2.99827694892883,0,2.56123399734497,2.56416583061218,0.0151178417727351,0,0.0577985197305679,0.081047959625721,0,0.217697620391846,0,0,0.224857121706009,0,0,0,0,0.251259386539459,0,0,11.0217123031616,10.327898979187,0.693814098834991,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,1768.09838867188,82403.9453125,6.14813899993896,6.87004041671753,34431.66796875,5.9523811340332,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,7.60976839065551
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","CD4 Count",NA,"CD4 Count","lab_CD4count",7,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",0.182915910495118,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,494.777929769058,990.863423003435,0,1527.28405664848,439.754053003088,9.3332278041937,0.863408282329096,0.0833560272568984,0,0,325.935836501901,0,0,6.81246092936028,0,0,0,0,0,0,0,70.6825613955797,141.551917571919,0,218.183436664068,62.8220075718698,1.33331825774196,0.123344040332728,0.0119080038938426,0,0,46.5622623574145,0,0,0.973208704194326,0,0,0,0,0,0,0,542.243964567014,494.708493505406,47.5354710616088,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,18.0956134796143,36.2390480041504,0,55.857666015625,16.0832138061523,0.341346025466919,0.031577605754137,0.00304859667085111,0,0,11.9205169677734,0,0,0.249153509736061,0,0,0,0,0,0,0,2.5850875377655,5.17700672149658,0,7.9796667098999,2.29760193824768,0.0487637184560299,0.00451108627021313,0.000435513822594658,0,0,1.7029310464859,0,0,0.03559335693717,0,0,0,0,0,0,0,19.8315982818604,18.0930728912354,1.73852431774139,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,10.2799921035767,2461.81591796875,0.973208725452423,0,990.863403320312,46.5622634887695,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,15.741760969162
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Electrolyte test",NA,"Electrolytes","lab_Electrolytes",80,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",2.09046754851563,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,5654.60491164637,11324.1534057535,0,17454.6749331255,5025.76060574958,10.118795018777,9.86752322661824,0.95264031150741,0,0,5587.47148288973,0,0,31.3423898336156,0,0,0,0,0,0,0,70.6825613955797,141.551917571919,0,218.183436664068,62.8220075718698,0.126484937734712,0.123344040332728,0.0119080038938426,0,0,69.8433935361217,0,0,0.391779872920194,0,0,0,0,0,0,0,563.73683359444,493.501660185398,70.2351734090419,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,206.807006835938,414.160552978516,0,638.373352050781,183.808151245117,0.370076715946198,0.36088690161705,0.0348411053419113,0,0,204.351715087891,0,0,1.14629149436951,0,0,0,0,0,0,0,2.5850875377655,5.17700672149658,0,7.9796667098999,2.29760193824768,0.0046259593218565,0.00451108627021313,0.000435513822594658,0,0,2.55439639091492,0,0,0.0143286446109414,0,0,0,0,0,0,0,20.6176605224609,18.0489349365234,2.56872510910034,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,20.9389591217041,28135.041015625,0.391779869794846,0,11324.1533203125,69.843391418457,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,15.741760969162
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Smear microscopy ZN",NA,"Smear microscopy ZN","lab_smearmicroscopy",144,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",3.76284158732814,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,10178.2888409635,20383.4761303564,0,31418.4148796258,9046.36909034925,108.219341832092,0,12.7557684241263,0,0,20114.897338403,0,0,19010.4141118588,0,0,0,0,0,0,0,70.6825613955797,141.551917571919,0,218.183436664068,62.8220075718698,0.751523207167305,0,0.0885817251675441,0,0,139.686787072243,0,0,132.016764665686,0,0,0,0,0,0,0,765.783579873701,494.080028135772,271.703551737929,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,372.252593994141,745.488952636719,0,1149.07202148438,330.854675292969,3.95792770385742,0,0.466519296169281,0,0,735.666198730469,0,0,695.271728515625,0,0,0,0,0,0,0,2.5850875377655,5.17700672149658,0,7.9796667098999,2.29760193824768,0.0274856090545654,0,0.0032397173345089,0,0,5.10879278182983,0,0,4.82827568054199,0,0,0,0,0,0,0,28.0071563720703,18.0700874328613,9.93706893920898,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,120.975112915039,50643.07421875,132.01676940918,0,20383.4765625,139.686782836914,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,15.741760969162
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"OP","OP treatment visit","DOT","Outpatient treatment visit_DOT","op_treatmentvisit_DOT",1584,NA,0.5,0,0.5,NA,NA,NA,NA,"TD","ECON",46.19340160398,0,1.42676767676768,0,0,0,0,0,0,0,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,88797.4733435277,129856.574995265,0,110928.067856501,111055.049953633,215.773112122278,0,824.943570751376,3510.21963225824,919.178944643955,23000,0,0,9972.83739233573,0,0,0,0,10882.1443031123,0,0,56.0590109491968,81.9801609818592,0,70.0303458690031,70.1105113343641,0.136220399067094,0,0.520797708807687,2.21604774763778,0.580289737780274,14.520202020202,0,0,6.29598320223215,0,0,0,0,6.87004059539919,0,0,309.319610545549,281.633384727716,27.6862258178334,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,3247.60791015625,4749.2705078125,0,4056.99462890625,4061.638671875,7.89151334762573,0,30.1708278656006,128.379974365234,33.617317199707,841.183654785156,0,0,364.738586425781,0,0,0,0,397.994842529297,0,0,2.05025744438171,2.99827694892883,0,2.56123399734497,2.56416583061218,0.00498201604932547,0,0.0190472397953272,0.081047959625721,0.0212230533361435,0.531050264835358,0,0,0.230264261364937,0,0,0,0,0.251259386539459,0,0,11.3128080368042,10.3002347946167,1.01257395744324,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,4550.9365234375,311699.78125,6.29598331451416,6.87004041671753,129856.578125,14.5202016830444,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,7.60976839065551
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,18,11,29,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"RAD","CXR digital",NA,"CXR [digital]","lab_CXRdigital",900,NA,NA,NA,NA,NA,NA,NA,NA,"TD","ECON",2.92735814962053,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,18339.2473807579,50554.8208608327,0,103642.972544524,7037.75635155372,1214.94137788212,632.586354056231,197.690984656362,0,0,29018.1155015198,0,0,130.104806649801,0,0,0,0,0,0,0,20.3769415341754,56.172023178703,0,115.158858382804,7.81972927950413,1.34993486431347,0.702873726729146,0.21965664961818,0,0,32.2423505572442,0,0,0.144560896277557,0,0,0,0,0,0,0,234.186929069369,201.800017615847,32.3869114535217,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,670.724975585938,1848.95166015625,0,3790.55541992188,257.393280029297,44.4342956542969,23.1357078552246,7.23019218444824,0,0,1061.28540039062,0,0,4.75834941864014,0,0,0,0,0,0,0,0.74524998664856,2.05439066886902,0,4.2117280960083,0.285992532968521,0.0493714399635792,0.0257063414901495,0.00803354661911726,0,0,1.1792060136795,0,0,0.005287054926157,0,0,0,0,0,0,0,8.56496620178223,7.3804726600647,1.18449306488037,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,2045.21875,129019.9765625,0.144560903310776,0,50554.8203125,32.2423515319824,TRUE,FALSE,TRUE,FALSE,-0.699336170072074,0.683559561434277,9.95075274500324,7.99159228206809,6.64836752513274,4.47650486449987,TRUE,FALSE,FALSE,FALSE,7.01136875152588
