"fc_country","fc_code","fc_geog1","fc_type","fc_ownership","fc_size_m2","fc_opvisits_total","fc_opvisits_TB","fc_ipdays_total","fc_ipdays_tb","ss_lab_total","ss_lab_tb","ss_rad_total","ss_rad_tb","capacity","fc_catchmentpop","fc_timespent_TB","fc_FTE_facility_clin","fc_FTE_facility_support","fc_FTE_total","fc_m2_TB","fc_beds_facility","fc_beds_TB","fc_FTE_TB_doctors","fc_FTE_TB_nurses","fc_FTE_TB_pharm","fc_FTE_TB_lab","fc_FTE_TB_rad","fc_FTE_TB_odirect","fc_FTE_TB_admin","fc_FTE_TB_support","fc_FTE_TB_vol","fc_FTE_TB","outputgroup","output","output_pop2","originaloutputdescription","output_plink","servicestatistics","met_stafftime_obs","met_stafftime_int","met_stafftime_tmst","met_stafftime_ass","met_equip_obs","met_equip_int","met_supp_obs","met_supp_int","met_TDvBU","met_FINvECON","q_bldgspace","q_stafftime_clin","q_stafftime_nurs","q_stafftime_pharm","q_stafftime_lab","q_stafftime_rad","q_stafftime_odirect","q_stafftime_admin","q_stafftime_support","q_stafftime_vol","LCU_p_bldgspace","LCU_p_stafftime_clin","LCU_p_stafftime_nurs","LCU_p_stafftime_pharm","LCU_p_stafftime_lab","LCU_p_stafftime_rad","LCU_p_stafftime_odirect","LCU_p_stafftime_admin","LCU_p_stafftime_support","LCU_p_stafftime_vol","LCU_cost_total_ohd_bldg","LCU_cost_total_ohd_staff","LCU_cost_total_ohd_transport","LCU_cost_total_ohd_other","LCU_cost_total_bldgs","LCU_cost_total_equip_med","LCU_cost_total_equip_other","LCU_cost_total_furniture","LCU_cost_total_vehicles","LCU_cost_total_training","LCU_cost_total_staff_clin","LCU_cost_total_staff_support","LCU_cost_total_staff_vol","LCU_cost_total_supplies_med","LCU_cost_total_drugs","LCU_cost_total_supplies_other","LCU_cost_total_maintenance","LCU_cost_total_utilities","LCU_cost_total_transport","LCU_cost_total_food","LCU_cost_total_other","LCU_unitcost_ohd_bldg","LCU_unitcost_ohd_staff","LCU_unitcost_ohd_transport","LCU_unitcost_ohd_other","LCU_unitcost_bldgs","LCU_unitcost_equip_med","LCU_unitcost_equip_other","LCU_unitcost_furniture","LCU_unitcost_vehicles","LCU_unitcost_training","LCU_unitcost_staff_clin","LCU_unitcost_staff_support","LCU_unitcost_staff_vol","LCU_unitcost_supplies_med","LCU_unitcost_drugs","LCU_unitcost_supplies_other","LCU_unitcost_maintenance","LCU_unitcost_utilities","LCU_unitcost_transport","LCU_unitcost_food","LCU_unitcost_other","LCU_unitcost_total","LCU_unitcost_fixed","LCU_unitcost_variable","met_currency","met_currencyyear_collection","met_USDexchangerate","met_GDPdeflator","USD_GDPpercapita","met_currencyyear_reported","USD_cost_total_ohd_bldg","USD_cost_total_ohd_staff","USD_cost_total_ohd_transport","USD_cost_total_ohd_other","USD_cost_total_bldgs","USD_cost_total_equip_med","USD_cost_total_equip_other","USD_cost_total_furniture","USD_cost_total_vehicles","USD_cost_total_training","USD_cost_total_staff_clin","USD_cost_total_staff_support","USD_cost_total_staff_vol","USD_cost_total_supplies_med","USD_cost_total_drugs","USD_cost_total_supplies_other","USD_cost_total_maintenance","USD_cost_total_utilities","USD_cost_total_transport","USD_cost_total_food","USD_cost_total_other","USD_unitcost_ohd_bldg","USD_unitcost_ohd_staff","USD_unitcost_ohd_transport","USD_unitcost_ohd_other","USD_unitcost_bldgs","USD_unitcost_equip_med","USD_unitcost_equip_other","USD_unitcost_furniture","USD_unitcost_vehicles","USD_unitcost_training","USD_unitcost_staff_clin","USD_unitcost_staff_support","USD_unitcost_staff_vol","USD_unitcost_supplies_med","USD_unitcost_drugs","USD_unitcost_supplies_other","USD_unitcost_maintenance","USD_unitcost_utilities","USD_unitcost_transport","USD_unitcost_food","USD_unitcost_other","USD_unitcost_total","USD_unitcost_fixed","USD_unitcost_variable","USD_p_bldgspace","USD_p_stafftime_clin","USD_p_stafftime_nurs","USD_p_stafftime_pharm","USD_p_stafftime_lab","USD_p_stafftime_rad","USD_p_stafftime_odirect","USD_p_stafftime_admin","USD_p_stafftime_support","USD_p_stafftime_vol","LCU_tc_fixedtradeable","LCU_tc_fixednontradeable","LCU_uc_variabletradeable","LCU_uc_variablenontradeable","LCU_tc_fixedstaff","LCU_uc_variablestaff","fc_init_total","construction_idx","met_PPP","ID_p_bldgspace","ID_unitcost_bldgs","ID_unitcost_staff_clin","ID_unitcost_staff_support","ID_unitcost_staff_vol","ID_unitcost_training","ID_unitcost_utilities","ID_unitcost_ohd_bldg","ID_unitcost_ohd_staff","ID_unitcost_equip_med","ID_unitcost_equip_other","ID_unitcost_furniture","ID_unitcost_vehicles","ID_unitcost_supplies_med","ID_unitcost_drugs","ID_unitcost_supplies_other","ID_unitcost_ohd_transport","ID_unitcost_transport","ID_unitcost_ohd_other","ID_unitcost_other","ID_unitcost_maintenance","ID_unitcost_food","ID_unitcost_fixed","ID_unitcost_variable","ID_unitcost_total","logVisits","logVisitsPP_TB","public","urban","primary","secondary","tertiary","healthcentre"
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Erythrocyte Sedimentation Rate",NA,"Erythrocyte Sedimentation Rate","lab_ESR",22,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.449386686270031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,1235.43062926263,3114.14218658223,0,4800.0356066095,1080.3850584564,0.0183517350423659,0,0.239954752478195,0,0,1024.36977186312,0,0,21.5756258744381,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0.000834169774652993,0,0.0109070342035543,0,0,46.5622623574145,0,0,0.980710267019915,0,0,0,0,0,0,0,512.554417506174,465.01144488174,47.5429726244344,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,45.1836547851562,113.894149780273,0,175.552673339844,39.5131416320801,0.000671181711368263,0,0.008775913156569,0,0,37.4644813537598,0,0,0.789089739322662,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,3.05082594422856e-05,0,0.000398905162001029,0,0,1.7029310464859,0,0,0.0358677133917809,0,0,0,0,0,0,0,18.745756149292,17.0069580078125,1.73879873752594,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,0.258306473493576,7115.85107421875,0.98071026802063,0,3114.14208984375,46.5622634887695,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,4.99600882810673,0,0,0,0,6.02538507074797,15.1881501031088,3.05082594422856e-05,0,0.000398905162001029,0,0.0358677133917809,0,0,0,0,23.410511442788,0,0,0,49.8936800207166,5.03187654149851,54.9255565622151,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","HIV confirmatory test",NA,"HIV confirmatory test","lab_HIVconftest",7,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.142986672904101,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,393.09156385629,990.863423003435,0,1527.28405664848,343.758882236127,0,0,0.0763492394248802,0,0,977.807509505704,0,0,680.412019186628,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0,0,0.0109070342035543,0,0,139.686787072243,0,0,97.2017170266612,0,0,0,0,0,0,0,701.89911481087,465.010610711965,236.888504098905,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,14.3766164779663,36.2390480041504,0,55.857666015625,12.5723628997803,0,0,0.00279233604669571,0,0,35.7615509033203,0,0,24.8848457336426,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,0,0,0.000398905162001029,0,0,5.10879278182983,0,0,3.55497789382935,0,0,0,0,0,0,0,25.6706981658936,17.0069274902344,8.66377067565918,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,0.0763492360711098,2264.13452148438,97.2017135620117,0,990.863403320312,139.686782836914,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,14.9880264843201,0,0,0,0,6.02538507074797,15.1881501031088,0,0,0.000398905162001029,0,3.55497789382935,0,0,0,0,23.410511442788,0,0,0,49.8936495124572,18.5430043781495,68.4366538906067,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","ALT or SGPT",NA,"ALT or SGPT","lab_ALTSGPT",5,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.102133337788643,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,280.779688468779,707.759587859597,0,1090.91718332034,245.542058740091,2.22886680233631,0.564879588009407,0.0545351710177716,0,0,232.811311787072,0,0,8.33273225497229,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0.445773360467263,0.112975917601881,0.0109070342035543,0,0,46.5622623574144,0,0,1.66654645099446,0,0,0,0,0,0,0,513.798168798443,465.569359990034,48.2288088084089,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,10.2690124511719,25.8850345611572,0,39.8983345031738,8.98025894165039,0.081516794860363,0.0206594541668892,0.00199452578090131,0,0,8.51465511322021,0,0,0.304754704236984,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,0.0163033585995436,0.00413189083337784,0.000398905162001029,0,0,1.7029310464859,0,0,0.0609509386122227,0,0,0,0,0,0,0,18.7912445068359,17.0273628234863,1.76388192176819,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,2.84828162193298,1617.23889160156,1.66654646396637,0,707.759582519531,46.5622634887695,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,4.99600882810672,0,0,0,0,6.02538507074797,15.1881501031088,0.0163033585995436,0.00413189083337784,0.000398905162001029,0,0.0609509386122227,0,0,0,0,23.410511442788,0,0,0,49.9140847618901,5.05695976671895,54.9710445286091,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","HIV rapid test",NA,"HIV rapid test","lab_HIVrapidtest",22,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.449386686270031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,1235.43062926263,3114.14218658223,0,4800.0356066095,1080.3850584564,0,0,0.239954752478195,0,0,3073.10931558935,0,0,75.4109546631739,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0,0,0.0109070342035543,0,0,139.686787072243,0,0,3.4277706665079,0,0,0,0,0,0,0,608.125168450716,465.010610711965,143.114557738751,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,45.1836547851562,113.894149780273,0,175.552673339844,39.5131416320801,0,0,0.008775913156569,0,0,112.393447875977,0,0,2.75801992416382,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,0,0,0.000398905162001029,0,0,5.10879278182983,0,0,0.125364542007446,0,0,0,0,0,0,0,22.2410850524902,17.0069274902344,5.23415756225586,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,0.239954754710197,7115.85107421875,3.42777061462402,0,3114.14208984375,139.686782836914,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,14.9880264843201,0,0,0,0,6.02538507074797,15.1881501031088,0,0,0.000398905162001029,0,0.125364542007446,0,0,0,0,23.410511442788,0,0,0,49.8936495124572,15.1133910263276,65.0070405387848,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"OP","OP treatment visit","DOT","Outpatient treatment visit_DOT","op_treatmentvisit_DOT",1584,NA,0.5,0,0.5,NA,NA,NA,NA,"TD","FIN",36.1097117664477,0,1.42676767676768,0,0,0,0,0,0,0,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,71009.6966661524,129856.574995265,0,110928.067856501,86812.5252695964,188.784,0,755.6,3215.15561569689,866.666666666667,23000,0,0,9972.83739233573,0,0,0,0,10882.1443031123,0,0,44.8293539559043,81.9801609818592,0,70.0303458690031,54.8058871651492,0.119181818181818,0,0.477020202020202,2.0297699594046,0.547138047138047,14.520202020202,0,0,6.29598320223215,0,0,0,0,6.87004059539919,0,0,282.505083816494,254.818857998661,27.6862258178334,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,2597.05200195312,4749.2705078125,0,4056.99462890625,3175.01196289062,6.90443515777588,0,27.6347103118896,117.588531494141,31.6967754364014,841.183654785156,0,0,364.738586425781,0,0,0,0,397.994842529297,0,0,1.63955295085907,2.99827694892883,0,2.56123399734497,2.00442671775818,0.00435886066406965,0,0.017446156591177,0.0742351859807968,0.0200105905532837,0.531050264835358,0,0,0.230264261364937,0,0,0,0,0.251259386539459,0,0,10.3321151733398,9.31954097747803,1.01257395744324,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,4159.53955078125,269616.9375,6.29598331451416,6.87004041671753,129856.578125,14.5202016830444,116,56.6,9.31989192962646,257.95710317206,5.88052818412303,1.55797965575594,0,0,0.058706479782108,0,4.81007229422896,8.7962566090769,0.00435886066406965,0,0.017446156591177,0.0742351859807968,0.230264261364937,0,0,0,0.737137366749975,7.51407273794535,0,0,0,27.1556765083924,2.52538128387085,29.6810577922632,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"RAD","CXR digital",NA,"CXR [digital]","lab_CXRdigital",900,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",2.28833676130167,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,14437.0668851183,50554.8208608327,0,103642.972544524,5501.46437614144,1040.83845319841,559.271774485002,181.073364654861,0,0,29018.1155015198,0,0,130.104806649801,0,0,0,0,0,0,0,16.0411854279092,56.172023178703,0,115.158858382804,6.11273819571272,1.15648717022046,0.621413082761113,0.20119262739429,0,0,32.2423505572442,0,0,0.144560896277557,0,0,0,0,0,0,0,227.850809519027,195.463898065505,32.3869114535217,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,528.009765625,1848.95166015625,0,3790.55541992188,201.206161499023,38.0667953491211,20.4543590545654,6.62243270874023,0,0,1061.28540039062,0,0,4.75834941864014,0,0,0,0,0,0,0,0.586677491664886,2.05439066886902,0,4.2117280960083,0.223562404513359,0.042296439409256,0.0227270666509867,0.0073582585901022,0,0,1.1792060136795,0,0,0.005287054926157,0,0,0,0,0,0,0,8.33323383331299,7.14874029159546,1.18449306488037,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,1781.18359375,123581.5,0.144560903310776,0,50554.8203125,32.2423515319824,116,56.6,9.31989192962646,257.95710317206,0.655880802252792,3.45951978850215,0,0,0,0,1.72117719272225,6.02711100116312,0.042296439409256,0.0227270666509867,0.0073582585901022,0,0.005287054926157,0,0,0,0,12.3562439620928,0,0,0,20.8327947228813,3.4648068434283,24.2976015663096,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Smear microscopy ZN",NA,"Smear microscopy ZN","lab_smearmicroscopy",144,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",2.94144012831293,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,8086.45502790083,20383.4761303564,0,31418.4148796258,7071.61129171461,92.7763830089501,0,11.6835368660321,0,0,20114.897338403,0,0,19010.4141118588,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0.644280437562154,0,0.0811356726807785,0,0,139.686787072243,0,0,132.016764665686,0,0,0,0,0,0,0,737.428671525934,465.725119788005,271.703551737929,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,295.74755859375,745.488952636719,0,1149.07202148438,258.631469726562,3.39312934875488,0,0.427304357290268,0,0,735.666198730469,0,0,695.271728515625,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,0.0235633980482817,0,0.00296739139594138,0,0,5.10879278182983,0,0,4.82827568054199,0,0,0,0,0,0,0,26.9701271057129,17.0330581665039,9.93706893920898,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,104.459922790527,46576.48046875,132.01676940918,0,20383.4765625,139.686782836914,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,14.9880264843201,0,0,0,0,6.02538507074797,15.1881501031088,0.0235633980482817,0,0.00296739139594138,0,4.82827568054199,0,0,0,0,23.410511442788,0,0,0,49.9197813967394,19.8163021648621,69.7360835616016,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"RAD","Xray all other body excl. CXR",NA,"X-ray [all other body (excl. CXR) - EPTB]","lab_xray",87,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.221205886925828,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,1395.5831322281,4886.96601654716,0,10018.820679304,531.808223027006,100.61438380918,54.0629382002168,17.5037585833032,0,0,2805.08449848024,0,0,12.5767979761474,0,0,0,0,0,0,0,16.0411854279092,56.1720231787029,0,115.158858382804,6.11273819571272,1.15648717022046,0.621413082761113,0.20119262739429,0,0,32.2423505572442,0,0,0.144560896277557,0,0,0,0,0,0,0,227.850809519027,195.463898065505,32.3869114535217,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,51.040943145752,178.731994628906,0,366.420349121094,19.44993019104,3.67979001998901,1.97725474834442,0.640168488025665,0,0,102.590919494629,0,0,0.459973752498627,0,0,0,0,0,0,0,0.586677491664886,2.05439066886902,0,4.2117280960083,0.223562404513359,0.042296439409256,0.0227270666509867,0.0073582585901022,0,0,1.1792060136795,0,0,0.005287054926157,0,0,0,0,0,0,0,8.33323383331299,7.14874029159546,1.18449306488037,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,172.181076049805,11946.2119140625,0.144560903310776,0,4886.9658203125,32.2423515319824,116,56.6,9.31989192962646,257.95710317206,0.655880802252792,3.45951978850215,0,0,0,0,1.72117719272225,6.02711100116311,0.042296439409256,0.0227270666509867,0.0073582585901022,0,0.005287054926157,0,0,0,0,12.3562439620928,0,0,0,20.8327947228813,3.4648068434283,24.2976015663096,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Total white blood cell count",NA,"Total white blood cell count","lab_WBC",22,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.449386686270031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,1235.43062926263,3114.14218658223,0,4800.0356066095,1080.3850584564,1.35545506013986,0,0.239954752478195,0,0,512.184885931559,0,0,21.5756258744381,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0.0616115936427208,0,0.0109070342035543,0,0,23.2811311787072,0,0,0.980710267019915,0,0,0,0,0,0,0,489.334063751335,465.072222305608,24.2618414457271,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,45.1836547851562,113.894149780273,0,175.552673339844,39.5131416320801,0.0495733320713043,0,0.008775913156569,0,0,18.7322406768799,0,0,0.789089739322662,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,0.00225333333946764,0,0.000398905162001029,0,0,0.85146552324295,0,0,0.0358677133917809,0,0,0,0,0,0,0,17.8965129852295,17.0091800689697,0.88733321428299,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,1.59540975093842,7115.85107421875,0.98071026802063,0,3114.14208984375,23.2811317443848,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,2.49800441405336,0,0,0,0,6.02538507074797,15.1881501031088,0.00225333333946764,0,0.000398905162001029,0,0.0358677133917809,0,0,0,0,23.410511442788,0,0,0,49.8959028457967,2.53387212744514,52.4297749732418,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ethiopia","ET1","Urban","Health centre","Private for-profit",674,20968,2956,0,0,82584,475,5534,987,0.20628797851262,35456,2.68963477969945,NA,NA,NA,186.380931520236,0,0,0.696082462164568,1.84166666666667,0,1.105,1.21506666666667,0,4.16,7.28,0,16.2978157954979,"LAB","Creatinine",NA,"Creatinine","lab_creatinine",5,NA,NA,NA,NA,NA,NA,NA,NA,"TD","FIN",0.102133337788643,NA,NA,NA,NA,NA,NA,NA,NA,NA,2404.1323240431,1.04326923076923,0.196153846153846,NA,0.470115384615385,0.332371794871795,NA,0.269230769230769,0.205096153846154,NA,280.779688468779,707.759587859597,0,1090.91718332034,245.542058740091,2.22886680233631,0.564879588009407,0.0545351710177716,0,0,232.811311787072,0,0,8.33273225497229,0,0,0,0,0,0,0,56.1559376937558,141.551917571919,0,218.183436664068,49.1084117480181,0.445773360467263,0.112975917601881,0.0109070342035543,0,0,46.5622623574144,0,0,1.66654645099446,0,0,0,0,0,0,0,513.798168798443,465.569359990034,48.2288088084089,"ETB",2018,0.036573201417923,NA,771.523803710938,2018,10.2690124511719,25.8850345611572,0,39.8983345031738,8.98025894165039,0.081516794860363,0.0206594541668892,0.00199452578090131,0,0,8.51465511322021,0,0,0.304754704236984,0,0,0,0,0,0,0,2.05380249023438,5.17700672149658,0,7.9796667098999,1.79605185985565,0.0163033585995436,0.00413189083337784,0.000398905162001029,0,0,1.7029310464859,0,0,0.0609509386122227,0,0,0,0,0,0,0,18.7912445068359,17.0273628234863,1.76388192176819,87.9268188476562,0.038155697286129,0.00717397406697273,NA,0.0171936247497797,0.012155900709331,NA,0.00984663143754005,0.00750102289021015,NA,2.84828162193298,1617.23889160156,1.66654646396637,0,707.759582519531,46.5622634887695,116,56.6,9.31989192962646,257.95710317206,5.26920399065039,4.99600882810672,0,0,0,0,6.02538507074797,15.1881501031088,0.0163033585995436,0.00413189083337784,0.000398905162001029,0,0.0609509386122227,0,0,0,0,23.410511442788,0,0,0,49.9140847618901,5.05695976671895,54.9710445286091,9.95075274500324,-0.699336231429988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
